,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,444000,819000,222000,900000,89000,80000,160000,170000,1094000,119000,372000,302000,358000,345000,782000,483000,187000,386000,785000,380000,515000,1105000,419000,162000,81000,342000,407000,1075000,200000,259000,227000,185000,238000,244000,1298000,950000,1100000,386000,140000,510000,574000,122000,205000,222000,421000,510000,1810000,418000,489000,460000,350000,155000,252000,388000,478000,515000,478000,762000,174000,262000,462000,394000,75000,433000,315000,755000,263000,302000,301000,499000,978000,198000,502000,453000,316000,815000,486000,375000,790000,1425000,690000,300000
1,399000,860000,100000,878000,133000,92000,159000,175000,1365000,126000,410000,280000,318000,350000,748000,469000,188000,400000,760000,396000,772000,663000,415000,136000,168000,367000,474000,1260000,203000,259000,227000,227000,260000,265000,1246000,875000,1267000,408000,126000,463000,480000,167000,293000,100000,334000,508000,2041000,525000,489000,470000,299000,155000,290000,400000,391000,475000,391000,840000,256000,282000,463000,382000,80000,2015000,327000,754000,320000,280000,280000,497000,1189000,195000,495000,454000,420000,723000,410000,383000,780000,1405000,830000,250000
2,425000,852000,100000,876000,89000,80000,165000,247000,1570000,89000,425000,309000,360000,365000,820000,490000,187000,408000,795000,410000,700000,670000,416000,136000,148000,436000,487000,1150000,178000,315000,227000,231000,261000,265000,1197000,799000,1100000,404000,118000,520000,520000,175000,310000,100000,372000,510000,1359000,533000,551000,575000,297000,177000,297000,421000,389000,528000,389000,807000,190000,300000,479000,426000,103000,470000,360000,795000,339000,236000,236000,557000,1157000,195000,502000,490000,455000,798000,396000,425000,436000,1200000,700000,365000
3,420000,870000,99000,901000,89000,80000,165000,178000,1320000,85000,436000,333000,335000,360000,1100000,535000,189000,410000,854000,446000,650000,745000,426000,165000,168000,455000,445000,1288000,162000,355000,225000,190000,252000,253000,1125000,790000,1225000,397000,115000,525000,529000,90000,340000,99000,347000,524000,1359000,510000,677000,599000,297000,176000,341000,454000,402000,530000,402000,786000,190000,319000,487000,427000,103000,778000,360000,831000,335000,262000,262000,600000,1020000,206000,529000,531000,435000,795000,391000,435000,489000,995000,575000,365000
4,476000,850000,98000,993000,85000,75000,174000,176000,1205000,80000,425000,355000,357000,400000,1169000,577000,189000,418000,895000,430000,555000,745000,456000,183000,142000,443000,415000,995000,200000,265000,175000,200000,243000,245000,790000,705000,995000,392000,142000,549000,589000,90000,300000,98000,465000,546000,1280000,543000,685000,556000,285000,168000,356000,470000,475000,549000,475000,814000,149000,330000,509000,451000,125000,1027000,382000,893000,300000,254000,254000,596000,760000,218000,529000,531000,413000,825000,420000,382000,599000,699000,573000,261000
5,499000,841000,98000,930000,67000,120000,183000,163000,1500000,67000,405000,395000,359000,411000,1100000,593000,249000,450000,867000,425000,425000,734000,473000,155000,175000,435000,398000,1045000,225000,266000,125000,199000,230000,230000,885000,763000,1025000,404000,187000,549000,599000,90000,283000,98000,519000,579000,1060000,579000,509000,521000,325000,181000,369000,414000,475000,549000,475000,836000,90000,345000,515000,467000,80000,1100000,393000,861000,290000,276000,276000,610000,815000,250000,550000,495000,413000,828000,467000,345000,777000,955000,548000,318000
6,498000,849000,162000,860000,158000,140000,163000,136000,1420000,158000,400000,355000,372000,416000,930000,587000,252000,435000,861000,439000,425000,598000,480000,150000,169000,440000,400000,995000,225000,266000,125000,172000,240000,245000,915000,745000,969000,389000,142000,511000,599000,183000,258000,162000,563000,569000,1200000,533000,509000,510000,290000,206000,339000,414000,475000,517000,475000,883000,90000,345000,507000,459000,103000,1059000,398000,860000,306000,260000,260000,533000,943000,252000,512000,480000,413000,950000,520000,460000,683000,955000,550000,375000
7,460000,886000,163000,829000,218000,125000,155000,117000,1340000,218000,400000,366000,378000,429000,963000,551000,258000,389000,855000,423000,360000,658000,472000,110000,182000,440000,390000,1040000,213000,323000,136000,183000,265000,260000,1060000,1000000,960000,342000,128000,517000,587000,185000,93000,163000,539000,550000,1060000,494000,505000,523000,326000,165000,332000,393000,725000,528000,725000,870000,130000,350000,490000,491000,105000,1654000,415000,853000,321000,268000,268000,595000,1162000,250000,517000,485000,382000,990000,498000,470000,590000,893000,384000,379000
8,500000,878000,164000,741000,252000,89000,153000,120000,1295000,252000,408000,312000,380000,404000,820000,546000,270000,330000,840000,437000,377000,659000,460000,120000,186000,444000,379000,860000,211000,428000,143000,176000,261000,260000,1075000,990000,848000,337000,128000,533000,619000,126000,159000,164000,563000,561000,1300000,455000,552000,500000,321000,158000,320000,435000,508000,538000,508000,371000,130000,344000,475000,445000,105000,2150000,402000,819000,328000,271000,271000,546000,1162000,305000,525000,515000,344000,1149000,417000,470000,620000,858000,343000,330000
9,539000,851000,170000,775000,253000,79000,150000,160000,857000,252000,400000,345000,380000,405000,993000,527000,210000,385000,808000,400000,389000,730000,465000,163000,174000,400000,385000,950000,211000,585000,130000,210000,261000,262000,979000,835000,860000,380000,197000,583000,628000,99000,236000,170000,420000,580000,1180000,477000,679000,525000,446000,147000,307000,410000,508000,585000,508000,577000,130000,332000,490000,453000,85000,1355000,405000,778000,350000,270000,270000,606000,1001000,288000,563000,515000,236000,930000,389000,450000,560000,794000,402000,315000
