,Inventory MoM _0,Inventory MoM _1,Inventory MoM _2,Inventory MoM _3,Inventory MoM _4,Inventory MoM _5,Inventory MoM _6,Inventory MoM _7,Inventory MoM _8,Inventory MoM _9,Inventory MoM _10,Inventory MoM _11,Inventory MoM _12,Inventory MoM _13,Inventory MoM _14,Inventory MoM _15,Inventory MoM _16,Inventory MoM _17,Inventory MoM _18,Inventory MoM _19,Inventory MoM _20,Inventory MoM _21,Inventory MoM _22,Inventory MoM _23,Inventory MoM _24,Inventory MoM _25,Inventory MoM _26,Inventory MoM _27,Inventory MoM _28,Inventory MoM _29,Inventory MoM _30,Inventory MoM _31,Inventory MoM _32,Inventory MoM _33,Inventory MoM _34,Inventory MoM _35,Inventory MoM _36,Inventory MoM _37,Inventory MoM _38,Inventory MoM _39,Inventory MoM _40,Inventory MoM _41,Inventory MoM _42,Inventory MoM _43,Inventory MoM _44,Inventory MoM _45,Inventory MoM _46,Inventory MoM _47,Inventory MoM _48,Inventory MoM _49,Inventory MoM _50,Inventory MoM _51,Inventory MoM _52,Inventory MoM _53,Inventory MoM _54,Inventory MoM _55,Inventory MoM _56,Inventory MoM _57,Inventory MoM _58,Inventory MoM _59,Inventory MoM _60,Inventory MoM _61,Inventory MoM _62,Inventory MoM _63,Inventory MoM _64,Inventory MoM _65,Inventory MoM _66,Inventory MoM _67,Inventory MoM _68,Inventory MoM _69,Inventory MoM _70,Inventory MoM _71,Inventory MoM _72,Inventory MoM _73,Inventory MoM _74,Inventory MoM _75,Inventory MoM _76,Inventory MoM _77,Inventory MoM _78,Inventory MoM _79,Inventory MoM _80,Inventory MoM _81
0,-6.7,4.2,-17.4,33.3,6.7,-3.3,12.3,33.3,-7.1,6.3,7.4,-12.8,14.9,-0.8,-11.1,8.7,-5.0,5.0,-25.8,-9.3,6.0,42.9,-1.0,-9.1,-15.8,-3.8,8.7,9.1,-14.3,10.4,6.7,3.5,-15.2,-14.8,-8.5,-16.7,9.0,-2.0,-3.7,5.6,10.3,22.2,5.6,-17.4,13.3,-11.4,-50.0,9.1,20.0,4.5,0.0,0.0,-26.3,-25.0,7.1,13.3,7.1,200.0,-20.0,-4.7,-0.8,-10.7,0.0,16.7,2.5,-23.3,2.7,-11.3,-11.3,10.3,-20.0,-8.8,-25.0,4.3,0.0,,3.7,0.0,6.5,16.0,60.0,-12.5
1,7.1,12.0,0.0,-25.0,12.5,0.0,3.7,15.0,-30.8,17.6,-8.2,5.9,16.7,-12.3,-12.5,29.6,26.3,14.3,34.8,-2.0,26.4,40.0,2.1,-24.0,0.0,28.0,42.0,0.0,-2.1,5.7,-18.8,1.7,-3.6,-8.7,15.4,20.0,-1.4,8.1,3.8,-15.8,18.6,18.2,-5.3,0.0,-47.1,5.1,40.0,-8.3,16.7,30.4,-9.1,-2.4,35.7,-33.3,-20.0,-11.8,-20.0,50.0,8.3,3.1,9.0,-12.4,40.0,14.3,-4.9,34.8,2.6,-4.3,-4.3,44.2,15.0,-4.8,45.8,25.0,-14.3,,28.6,4.5,3.0,0.0,37.5,-9.5
2,-5.6,7.1,15.8,16.7,-27.8,-5.1,7.1,-4.3,66.7,-25.0,-16.4,-5.6,-12.7,-5.3,-14.3,-4.9,16.7,-12.5,29.0,8.3,-9.0,7.1,2.1,0.0,-6.3,-3.1,1.4,0.0,0.0,3.6,-7.7,-5.0,-11.1,-9.5,10.7,-8.3,2.8,-1.9,0.0,50.0,-19.6,-19.2,5.6,15.8,-33.3,-14.6,57.1,-27.3,-28.6,-15.0,-30.0,6.1,31.6,50.0,-66.7,40.0,-66.7,-11.1,0.0,3.7,-3.1,-32.5,57.1,-6.3,-5.2,22.6,-7.3,-2.2,-2.2,-8.1,26.1,10.2,-20.0,7.8,-16.7,33.3,-5.6,-8.7,-26.5,10.3,-9.1,10.5
3,3.5,-13.3,-22.7,-42.9,7.7,12.5,-17.6,-27.3,-6.7,6.7,16.1,-17.6,-9.1,8.3,16.7,-7.1,-17.9,-1.2,-25.0,13.5,-3.3,-20.0,-3.0,10.5,20.0,19.4,-6.9,11.1,-10.6,-10.3,-16.7,-14.0,0.0,-15.8,-12.0,-45.5,8.1,5.7,7.4,-12.5,-12.2,-9.5,-10.5,-22.7,16.7,-5.7,0.0,0.0,60.0,13.7,-42.9,-9.2,16.0,-16.7,75.0,-4.8,75.0,-37.5,7.7,-4.6,-0.1,41.7,0.0,0.0,2.7,-23.7,-5.5,18.2,18.2,-3.5,-13.8,-20.0,3.6,-3.1,40.0,50.0,-11.8,4.8,16.0,3.1,-20.0,4.8
4,3.4,-7.7,0.0,50.0,7.1,7.9,9.3,12.5,21.4,0.0,12.3,17.9,0.0,-6.0,57.1,-9.1,-8.7,7.2,6.7,-20.3,-1.7,-25.0,9.4,-4.8,0.0,-18.9,-11.9,-15.0,-11.9,-7.7,0.0,-2.0,4.2,6.3,11.0,0.0,-2.5,6.3,-13.8,9.5,-16.7,-10.5,-41.2,0.0,-14.3,12.1,9.1,12.5,37.5,24.1,100.0,6.3,-13.8,-40.0,-28.6,10.0,-28.6,0.0,7.1,0.0,2.9,12.1,-18.2,0.0,0.0,3.4,-7.3,7.7,7.7,3.6,8.0,3.8,17.2,-2.1,-28.6,-66.7,0.0,-4.5,3.4,0.0,-12.5,4.5
5,3.3,-20.8,-11.8,-33.3,-6.7,-8.8,-3.7,0.0,-35.3,-6.3,-2.7,-18.2,-14.0,-6.4,-18.2,-19.2,-14.3,-2.2,-12.5,-6.4,0.0,0.0,-2.9,2.5,-16.7,-6.7,-10.2,0.0,-5.4,2.1,-20.0,6.3,8.0,17.6,-7.4,16.7,-3.8,-9.3,8.0,-21.7,-26.7,-17.6,-40.0,-11.8,-33.3,-13.5,8.3,-33.3,-9.1,-2.8,12.5,-6.0,8.0,33.3,60.0,-18.2,60.0,0.0,-13.3,-8.3,-5.6,-11.1,11.1,0.0,-20.0,-16.7,-5.9,-19.6,-19.6,-35.1,-5.6,-9.3,-17.6,-21.7,-20.0,-50.0,-3.3,9.5,10.0,-3.0,21.4,4.3
6,-21.3,-10.5,-13.3,-25.0,-7.1,-16.1,-10.1,5.6,9.1,-13.3,-23.9,7.4,-2.3,-4.9,-33.3,-4.8,11.1,-13.8,-3.6,0.0,-15.5,-44.4,-5.9,-4.9,0.0,-10.7,-13.2,0.0,11.4,-16.3,62.5,9.8,3.7,5.0,-1.3,-14.3,-6.7,-15.0,3.7,-22.2,22.7,0.0,16.7,-13.3,50.0,-21.9,-7.7,-16.7,-30.0,-11.4,22.2,-8.9,-14.8,-25.0,0.0,-33.3,0.0,60.0,7.7,-5.7,-10.1,4.5,-10.0,-20.0,5.0,0.0,-2.5,-4.4,-4.4,-16.2,5.9,4.1,-17.9,-18.1,-50.0,0.0,10.3,-8.7,-3.0,-6.3,-5.9,-12.5
7,29.7,17.6,0.0,66.7,-15.4,1.9,14.1,36.8,16.7,-15.4,1.9,31.0,2.4,2.0,16.7,31.0,-30.0,1.3,25.9,4.5,18.4,60.0,2.1,-5.1,-20.0,12.0,6.5,14.7,-15.4,7.3,7.7,7.1,7.1,0.0,14.9,33.3,11.4,3.3,0.0,21.4,29.6,7.1,28.6,0.0,66.7,20.0,50.0,-20.0,14.3,-4.8,-18.2,2.8,30.4,66.7,0.0,33.3,0.0,25.0,-14.3,6.6,10.5,20.8,-11.1,50.0,1.6,28.0,9.0,-14.0,-14.0,41.9,14.8,-33.3,47.8,32.2,100.0,100.0,25.0,19.0,6.3,6.7,0.0,9.5
8,-12.5,-20.0,0.0,-40.0,-36.4,17.0,-28.4,-3.8,-7.1,-36.4,14.5,-13.2,0.0,-8.0,-42.9,-5.3,0.0,-13.2,-29.4,6.5,-13.8,0.0,-1.0,-5.4,-16.7,3.6,-2.0,7.7,9.1,13.6,-28.6,-3.3,-20.0,-9.5,-5.9,-37.5,3.8,-7.4,10.7,-29.4,-8.6,-13.3,44.4,0.0,-10.0,13.3,-5.6,50.0,-62.5,-8.5,22.2,-28.4,-23.3,0.0,-25.0,-31.3,-25.0,-40.0,8.3,-10.7,-4.7,-12.6,-37.5,0.0,-9.4,-25.0,3.1,-10.8,-10.8,-11.4,-4.8,-5.9,11.8,-14.1,-50.0,0.0,-30.0,-16.0,0.0,9.4,-37.5,17.4
9,-7.1,-6.3,0.0,66.7,0.0,-8.1,3.4,0.0,-7.7,28.6,1.6,-6.1,11.6,-5.4,25.0,-0.8,-35.7,-6.1,-12.5,-12.2,-6.0,12.5,-9.3,0.0,-20.0,-13.8,16.7,-7.1,-13.9,2.0,0.0,-5.2,4.2,5.3,-13.8,20.0,-17.3,-14.9,-6.5,-16.7,-18.8,7.7,-15.4,0.0,-44.4,-20.6,-23.5,-16.7,33.3,-16.7,27.3,-7.5,-4.3,0.0,-16.7,-36.4,-16.7,0.0,-15.4,-1.9,-9.6,-15.3,20.0,-5.6,-5.2,-12.5,-8.0,-6.1,-6.1,0.0,-13.6,-12.5,-28.9,0.0,50.0,-50.0,-3.6,-4.8,-29.4,-34.3,-10.0,0.0
