,combinatory,Stat_ttest,p_ttest,df_ttest,Stat_wctest,p_wctest,Stat_kstest,p_kstest,Stat_mutest,p_mutest,index_ttest,index_wctest,index_kstest,index_mutest
0,"(0, 1)",-0.5757992175762644,0.5656239740981964,148.24256067482813,2073.0,0.6664274816258108,0.15053763440860216,0.2426399621888428,4435.5,0.7634108201080151,1,1,1,1
1,"(0, 2)",-1.1652392249705108,0.24623180222624957,120.07299371677887,1989.0,0.45150098672842365,0.15053763440860216,0.2426399621888428,4371.5,0.8991588165144386,1,1,1,1
2,"(0, 3)",-1.437349068290979,0.15379572506687034,98.2596345531143,2011.0,0.5037411724989544,0.25806451612903225,0.004085132093109034,4448.0,0.7374686345037811,1,1,0,1
3,"(0, 4)",-1.643313027254307,0.10309609382402178,113.07293131346803,1967.5,0.40355420609119796,0.24731182795698925,0.006771552476655329,4278.0,0.9002641906873253,1,1,0,1
4,"(0, 5)",-0.3579117572088257,0.7208277334048816,180.41777333798763,2032.5,0.5577169716729021,0.10752688172043012,0.655429386457258,4194.0,0.7232486964541405,1,1,1,1
5,"(0, 6)",-0.16473692389131206,0.8693322082429159,183.67606994689712,2095.0,0.7287700775697956,0.09677419354838712,0.7765024241168351,4207.5,0.7509828636993968,1,1,1,1
6,"(0, 7)",-0.9908138893274132,0.3235421399324675,135.5277458442747,2030.5,0.5525806565529405,0.18279569892473124,0.08941479770378834,4189.0,0.7129673144880914,1,1,1,1
7,"(0, 8)",-1.3319489263235926,0.1857832018361842,104.19391768497874,2016.0,0.5160411907199343,0.23655913978494625,0.01098577460938761,4470.0,0.6927243516431183,1,1,0,1
8,"(0, 9)",-1.63558294253578,0.10470615360725184,113.13414606965598,2012.5,0.5074158186773475,0.24731182795698922,0.006771552476655329,4328.0,0.9934789326219209,1,1,0,1
9,"(0, 10)",0.11810507601460812,0.9061279525631347,165.11816809573483,2159.5,0.9206440827311925,0.17204301075268819,0.12747943966657732,4159.5,0.6540835143655378,1,1,1,1
10,"(0, 11)",-0.18911549886464557,0.8502107417736107,183.9927863787477,2152.0,0.8978642490099675,0.11827956989247312,0.5335084608160066,4210.0,0.7561471031007604,1,1,1,1
