,combinatory,Stat_ttest,p_ttest,df_ttest,Stat_wctest,p_wctest,Stat_kstest,p_kstest,Stat_mutest,p_mutest,index_ttest,index_wctest,index_kstest,index_mutest
0,"(0, 1)",-0.6434195279953355,0.5209002558020271,155.40270317791794,2146.5,0.8812125421429953,0.15053763440860218,0.24263996218884257,4445.5,0.7427010250943248,1,1,1,1
1,"(0, 2)",-0.49151979242201027,0.6237086676299762,165.86237191246525,1992.5,0.45960329382134024,0.1182795698924731,0.5335084608160068,4376.5,0.8883301558777096,1,1,1,1
2,"(0, 3)",,,,1829.0,0.17194977533294942,0.25806451612903225,0.004085132093109034,4103.0,0.546987119502663,1,1,0,1
3,"(0, 4)",-0.5133468010164518,0.6085590056583865,133.2258510067204,2125.5,0.8181722366633324,0.13978494623655918,0.3235650060264089,4550.5,0.5390138058375886,1,1,1,1
4,"(0, 5)",0.4657671296875325,0.6420110422231922,161.16046784963552,2066.0,0.6470395384184925,0.12903225806451613,0.4210978127131917,4418.5,0.7989534804974393,1,1,1,1
5,"(0, 6)",0.4143236103250192,0.6791563667888543,171.0050366872301,2125.0,0.8166831800303112,0.11827956989247312,0.5335084608160066,4392.0,0.8551831362913755,1,1,1,1
6,"(0, 7)",-0.4369763901912669,0.6626970396712872,165.80499097056452,2179.0,0.9801302901594803,0.11827956989247312,0.5335084608160066,4423.0,0.7893383871417277,1,1,1,1
7,"(0, 8)",-0.7882029740609545,0.4319118169975552,139.86812971342664,2142.5,0.8691333430197863,0.16129032258064518,0.17783264409307828,4502.5,0.6285174118684417,1,1,1,1
8,"(0, 9)",-0.2211027460045887,0.8252833902741928,166.4732880509976,2109.5,0.770896092145937,0.1182795698924731,0.5335084608160068,4460.0,0.7130444662741056,1,1,1,1
9,"(0, 10)",-0.17144402967175484,0.8640656097019166,181.51868287566262,2121.5,0.8062836890754976,0.09677419354838712,0.7765024241168351,4266.0,0.8744642587616983,1,1,1,1
10,"(0, 11)",-0.09671050201487906,0.9230617781890689,183.61219927936597,2169.5,0.9511157359416286,0.05376344086021506,0.9992943266717298,4294.5,0.9359510375054447,1,1,1,1
11,"(0, 12)",0.09957233765189542,0.920798722982938,173.63538349678902,2164.0,0.9343446487585476,0.12903225806451613,0.4210978127131917,4268.0,0.8787526116540443,1,1,1,1
12,"(0, 13)",0.2580091879331861,0.7967222775353497,164.52126312772558,2051.0,0.6063063026941959,0.12903225806451613,0.4210978127131917,4372.5,0.8970507744891749,1,1,1,1
13,"(0, 14)",,,,1950.5,0.3678930960561845,0.24731182795698925,0.006771552476655329,4253.0,0.8464460217296459,1,1,0,1
14,"(0, 15)",-0.010373801813007295,0.9917344654686264,181.18727956027075,2170.5,0.9541670655848763,0.12903225806451613,0.4210978127131917,4413.0,0.8105562105215173,1,1,1,1
15,"(0, 16)",,,,2088.5,0.7101415991344358,0.13978494623655913,0.32356500602640936,4440.0,0.7539795357141805,1,1,1,1
16,"(0, 17)",0.540234848676475,0.5897891583388604,159.38437933231913,2039.0,0.574570853420126,0.15053763440860224,0.24263996218884212,4474.0,0.6848371780136069,1,1,1,1
17,"(0, 18)",-0.6198717332197805,0.5362856053374967,149.54343417280072,2162.0,0.9282530917121528,0.15053763440860218,0.24263996218884257,4399.0,0.840242324185112,1,1,1,1
18,"(0, 19)",-0.10139379852591704,0.919348446855518,183.69384467363057,2104.5,0.7562866200818642,0.09677419354838712,0.7765024241168351,4354.5,0.9359521103192692,1,1,1,1
19,"(0, 20)",0.0036309999040952615,0.997106822852359,183.92449190606425,2185.0,0.9984714037030985,0.06451612903225812,0.9902848339891562,4450.5,0.7324361419259788,1,1,1,1
20,"(0, 21)",-1.1045862074891446,0.2712297841662105,140.29225349752593,2042.0,0.5824324360119837,0.16129032258064524,0.17783264409307795,4202.5,0.7406220027211012,1,1,1,1
21,"(0, 22)",-0.20500308108459706,0.8377966997188366,183.69413414050507,2162.5,0.9297755024167316,0.09677419354838712,0.7765024241168351,4341.5,0.9641511348641283,1,1,1,1
22,"(0, 23)",0.15826409267400932,0.8744224041810591,183.84765795164353,2137.0,0.8525757548331491,0.09677419354838712,0.7765024241168351,4414.0,0.8083133732873177,1,1,1,1
23,"(0, 24)",-0.4634400257147555,0.643673944063412,161.24303753058442,2149.0,0.8887753013342047,0.10752688172043012,0.655429386457258,4363.5,0.9163752635795197,1,1,1,1
24,"(0, 25)",-0.29024442031139014,0.7719611563098754,181.19550709692865,2150.0,0.8918029497604169,0.08602150537634407,0.8815272017572051,4354.5,0.9359541961918378,1,1,1,1
25,"(0, 26)",-0.4605702355953298,0.6456767135806898,175.63463921029026,2026.0,0.5411056091792974,0.09677419354838712,0.7765024241168351,4343.0,0.9608944486597351,1,1,1,1
26,"(0, 27)",-0.14180324839309535,0.8873957754746238,178.0105666362875,2180.5,0.9847150328242164,0.0967741935483871,0.7765024241168355,4455.5,0.7222149836230941,1,1,1,1
27,"(0, 28)",0.2588002559767035,0.7960920251827903,175.86012185949053,2172.0,0.958746385951619,0.15053763440860224,0.24263996218884212,4472.5,0.6878393981485347,1,1,1,1
28,"(0, 29)",0.0926253255423381,0.9263024193739282,183.22866505545161,2138.0,0.8555812697435041,0.08602150537634412,0.8815272017572048,4404.0,0.8296119996318286,1,1,1,1
29,"(0, 30)",-0.5289507746340857,0.5976053894645524,153.14916882461907,2121.0,0.804800547612968,0.13978494623655915,0.3235650060264091,4547.0,0.5452003678474986,1,1,1,1
30,"(0, 31)",0.35093147721797396,0.726065071460053,173.67643361894858,2117.5,0.7944402707320909,0.17204301075268824,0.1274794396665772,4448.5,0.7365217758780946,1,1,1,1
31,"(0, 32)",0.01296016415155571,0.9896736182960948,183.9704814299032,2154.0,0.9039318532480756,0.11827956989247312,0.5335084608160066,4451.5,0.7303744488589554,1,1,1,1
32,"(0, 33)",-0.16992435803635722,0.8652598558851397,180.56662259019146,2160.5,0.9236870020668175,0.09677419354838712,0.7765024241168351,4428.0,0.7789732275901295,1,1,1,1
33,"(0, 34)",0.12810662486788818,0.8982076740779097,179.91568841882548,2112.0,0.7782316957228257,0.08602150537634401,0.8815272017572056,4345.0,0.9565501907175815,1,1,1,1
34,"(0, 35)",-0.4600083726849676,0.646119488980401,164.00018595879564,2075.5,0.6734069334774326,0.12903225806451613,0.4210978127131917,4326.0,0.9978260571687749,1,1,1,1
35,"(0, 36)",0.018223073491032648,0.9854806615932814,183.80612601792166,2128.0,0.825622845118564,0.11827956989247312,0.5335084608160066,4414.0,0.8084414591820144,1,1,1,1
36,"(0, 37)",0.43992638412459795,0.6605797860997042,161.1723888111342,1991.0,0.4561203676033232,0.13978494623655913,0.32356500602640936,4429.5,0.7759092134255983,1,1,1,1
37,"(0, 38)",0.12519798632660373,0.9005037267566497,183.68565389191534,2173.0,0.9617997097932018,0.08602150537634412,0.8815272017572048,4375.5,0.8905402206854047,1,1,1,1
38,"(0, 39)",-1.0024853879317595,0.3177416879144411,148.34072616104845,1892.5,0.2615815031696179,0.13978494623655924,0.3235650060264084,4225.0,0.7873970367691341,1,1,1,1
39,"(0, 40)",-0.22746609222832076,0.8203261252590759,175.48530916011123,2159.5,0.9206447359021535,0.1075268817204301,0.6554293864572585,4380.0,0.8809059637823307,1,1,1,1
40,"(0, 41)",-0.4629888109341434,0.6439735839639081,167.43375215269907,2162.0,0.9282529604002846,0.12903225806451613,0.4210978127131917,4330.5,0.9880446058955888,1,1,1,1
41,"(0, 42)",-0.3367425254698128,0.7367134781446241,175.43828620496924,2127.5,0.8241315311269063,0.10752688172043012,0.655429386457258,4411.5,0.8136426082333779,1,1,1,1
42,"(0, 43)",-0.49151979242201027,0.6237086676299762,165.86237191246525,1992.5,0.45960329382134024,0.1182795698924731,0.5335084608160068,4376.5,0.8883301558777096,1,1,1,1
43,"(0, 44)",-1.373673956825315,0.17234885448332712,109.49385182026687,2147.0,0.8827239445535815,0.23655913978494625,0.01098577460938761,4694.0,0.3146065893104125,1,1,0,1
44,"(0, 45)",-0.34504390355880454,0.7304727165738377,176.27861676704995,2055.0,0.6170550489753464,0.10752688172043012,0.655429386457258,4289.5,0.925127360918074,1,1,1,1
45,"(0, 46)",-0.988390857051494,0.32465508869948057,140.93792691882916,2032.5,0.5577169716729021,0.16129032258064524,0.17783264409307795,4300.0,0.9478610097249418,1,1,1,1
46,"(0, 47)",,,,1912.5,0.2955477184732299,0.26881720430107525,0.002412038764518962,4301.5,0.9510831963993613,1,1,0,1
47,"(0, 48)",,,,1790.5,0.13015757919104426,0.26881720430107525,0.002412038764518962,4226.5,0.790497058649819,1,1,0,1
48,"(0, 49)",-0.6225441623226786,0.5344594089620902,162.00188798238534,2084.5,0.6987587139410798,0.11827956989247312,0.5335084608160066,4402.5,0.8328022757287163,1,1,1,1
49,"(0, 50)",-0.9331791350286572,0.35250388148145295,126.59686297356218,2147.5,0.8842363125142195,0.11827956989247312,0.5335084608160066,4429.0,0.7768779123752487,1,1,1,1
50,"(0, 51)",0.5935193059790045,0.5536346427732994,167.42575976148765,2119.5,0.800354443584391,0.11827956989247312,0.5335084608160066,4451.5,0.7303945074037133,1,1,1,1
51,"(0, 52)",-0.44643064702961216,0.6558406377852333,174.2050638504,2066.0,0.6470410477250468,0.09677419354838712,0.7765024241168351,4317.0,0.9847839639183474,1,1,1,1
52,"(0, 53)",,,,1919.5,0.3081044263660301,0.22580645161290325,0.017443486495211147,4282.5,0.9099704211786752,1,1,0,1
53,"(0, 54)",,,,1651.5,0.040749028588565564,0.31182795698924737,0.00023642877170222662,4013.5,0.39752429955336854,1,0,0,1
54,"(0, 55)",-1.1953532410368026,0.2339813889616984,139.2091398971752,1860.0,0.2123276488193293,0.17204301075268813,0.1274794396665776,4200.0,0.7354999341408701,1,1,1,1
55,"(0, 56)",,,,1675.5,0.0506870502783164,0.32258064516129037,0.00012536611591669995,4114.0,0.5671930943174236,1,1,0,1
56,"(0, 57)",-1.941820483642113,0.05473069207629525,109.38231888597964,1942.5,0.3518118659977383,0.23655913978494625,0.01098577460938761,4181.5,0.6978478905666244,1,1,0,1
57,"(0, 58)",-1.0064781843785118,0.31614367583777253,124.12183182650223,2092.5,0.7215848668438631,0.16129032258064518,0.17783264409307828,4464.0,0.7047521016666841,1,1,1,1
58,"(0, 59)",0.5163679824801799,0.6065137706865279,124.44570629266029,2073.0,0.6664266188623382,0.27956989247311836,0.001393871677841029,4333.5,0.9815277062942659,1,1,0,1
59,"(0, 60)",0.26810175003720793,0.788964568150551,160.82134859764187,2051.5,0.6076464587437413,0.17204301075268824,0.1274794396665772,4328.5,0.9923932998875984,1,1,1,1
60,"(0, 61)",-1.3483850688379868,0.17934445209700195,168.47815627113883,1907.0,0.2859232619567207,0.12903225806451613,0.4210978127131917,4077.0,0.5010640909665589,1,1,1,1
61,"(0, 62)",,,,1902.5,0.27821101700345086,0.22580645161290325,0.017443486495211147,4260.5,0.862574697563218,1,1,0,1
