,combinatory,Stat_ttest,p_ttest,df_ttest,Stat_wctest,p_wctest,Stat_kstest,p_kstest,Stat_mutest,p_mutest,index_ttest,index_wctest,index_kstest,index_mutest
0,"(0, 1)",-44.21136465917044,1.392565039623586e-92,162.73391142753673,0.0,5.565425599935023e-17,1.0,8.159117334355236e-41,0.0,5.023770100540322e-32,0,0,0,0
1,"(0, 2)",22.63983276209951,9.02433055216063e-49,140.78853289569338,0.0,5.562521605166378e-17,0.924731182795699,5.793541223601557e-35,8619.0,1.3200812049887394e-31,0,0,0,0
2,"(0, 3)",-35.756287172849845,2.704626802374857e-67,124.38154209834377,0.0,5.567241323458242e-17,1.0,8.159117334355236e-41,0.0,5.019843947021697e-32,0,0,0,0
3,"(0, 4)",32.80892513129772,1.959838257207688e-75,169.92615598286827,0.0,5.562158706425953e-17,1.0,8.159117334355236e-41,8649.0,5.025079481178016e-32,0,0,0,0
4,"(0, 5)",30.579648305651226,2.7620198375955635e-67,153.9303599376098,0.0,5.562521605166378e-17,1.0,8.159117334355236e-41,8649.0,5.01494044673221e-32,0,0,0,0
5,"(0, 6)",31.211551880201593,6.570483518733655e-72,168.35370468066705,0.0,5.557805664666959e-17,1.0,8.159117334355236e-41,8649.0,5.020171012598016e-32,0,0,0,0
6,"(0, 7)",30.89863901750916,1.3193491788379864e-71,169.78007189469318,0.0,5.562158706425953e-17,1.0,8.159117334355236e-41,8649.0,5.014613712212584e-32,0,0,0,0
7,"(0, 8)",-19.80562612582114,2.423970211866751e-35,94.15990804957544,0.0,5.568331026009165e-17,1.0,8.159117334355236e-41,0.0,5.021479481934979e-32,0,0,0,0
8,"(0, 9)",31.952235286070906,5.011690766498174e-73,166.89087513321223,0.0,5.564336434201208e-17,0.989247311827957,5.9643388557606645e-40,8648.0,5.189753157390062e-32,0,0,0,0
9,"(0, 10)",-4.4900817609301775,1.5257092829977874e-05,133.32078445884557,849.5,3.068627720555155e-07,0.5376344086021505,4.231040172025421e-12,2714.5,1.1619299996819255e-05,0,0,0,0
10,"(0, 11)",4.452020496368124,1.6656053747538963e-05,147.86659941345096,851.5,3.1945942180230304e-07,0.3225806451612903,0.00012536611591669995,5557.0,0.0007891508558425896,0,0,0,0
11,"(0, 12)",5.745274237677227,4.50190562458005e-08,160.17617852113236,433.0,1.878955493687595e-11,0.3870967741935484,1.7738882125512227e-06,6209.5,2.8360382187624633e-07,0,0,0,0
12,"(0, 13)",-3.5949130262814233,0.0004446933731198345,144.24762785629352,997.5,5.3078268428102726e-06,0.39784946236559143,8.091488639676118e-07,2654.5,5.4134619847176005e-06,0,0,0,0
13,"(0, 14)",-25.80476056680537,1.2341771760567654e-46,102.4930499155975,0.0,5.569057606246827e-17,1.0,8.159117334355236e-41,0.0,5.027699237139063e-32,0,0,0,0
14,"(0, 15)",-11.479792572439916,1.1161355103788767e-22,161.38278800019688,51.5,2.914440105166937e-16,0.6559139784946237,8.405835493649392e-18,1042.0,3.877432979762049e-19,0,0,0,0
15,"(0, 16)",12.728144532763356,5.150372844605162e-25,137.62321253139626,4.5,6.437278905532481e-17,0.7204301075268817,2.178457220253676e-21,7921.5,1.1572373376827837e-22,0,0,0,0
16,"(0, 17)",15.894237930436633,1.1251052047975724e-35,173.3369929524697,10.0,7.698110279213373e-17,0.7849462365591398,2.6030900929026115e-25,8259.5,8.392868464103455e-27,0,0,0,0
17,"(0, 18)",-39.4317109972708,3.734572683498337e-80,147.26769636361183,0.0,5.56615182224278e-17,1.0,8.159117334355236e-41,0.0,5.019843947021697e-32,0,0,0,0
18,"(0, 19)",7.064120340983722,3.6901747156251125e-11,174.6839631868624,243.5,9.969726700798026e-14,0.4516129032258065,1.1572956985050623e-08,6682.5,1.332271099453251e-10,0,0,0,0
19,"(0, 20)",1.2798275050390036,0.20296137539921372,125.77904298634004,1504.5,0.009071096254859766,0.3548387096774193,1.6427887026265713e-05,5456.5,0.0020537529895940567,1,0,0,0
20,"(0, 21)",-25.624233760104797,2.511315171335033e-56,148.24045671684735,0.0,5.561432976001365e-17,0.967741935483871,2.988006733509631e-38,24.0,1.087950305161768e-31,0,0,0,0
21,"(0, 22)",-3.7542556965406084,0.00023807361584707122,170.84555815937105,969.5,3.170116877510379e-06,0.3870967741935484,1.7738882125512227e-06,2976.5,0.00024164289379887866,0,0,0,0
22,"(0, 23)",32.39813618003994,5.546793615468686e-74,167.25873106429813,0.0,5.56288452626055e-17,1.0,8.159117334355236e-41,8649.0,5.013960305212619e-32,0,0,0,0
23,"(0, 24)",30.716319277468443,1.8476574862039173e-70,166.3628103882421,0.0,5.561070144314595e-17,1.0,8.159117334355236e-41,8649.0,5.019843947021697e-32,0,0,0,0
24,"(0, 25)",6.626061302748503,3.698942620248316e-10,183.8215355280719,355.5,2.3471493697638835e-12,0.46236559139784944,4.639898947285927e-09,6662.5,1.9120818938106216e-10,0,0,0,0
25,"(0, 26)",15.310371411709328,7.518078456719282e-33,155.46754720197814,56.0,3.362324032790158e-16,0.7634408602150538,5.759716974610579e-24,8158.0,1.5867680388832064e-25,0,0,0,0
26,"(0, 27)",-25.511979555238838,2.18630168240426e-45,99.26021936851485,0.0,5.570147644434668e-17,1.0,8.159117334355236e-41,0.0,5.027699237139063e-32,0,0,0,0
27,"(0, 28)",27.71397756209491,1.285088036092691e-65,173.46931686859256,0.0,5.556355365641597e-17,0.978494623655914,4.267187967340601e-39,8639.5,6.812902210888398e-32,0,0,0,0
28,"(0, 29)",10.855770013487204,8.998531467023631e-20,125.64220985407268,273.5,2.3695766955807473e-13,0.6881720430107527,1.4907110110431222e-19,7537.5,2.1064353935029822e-18,0,0,0,0
29,"(0, 30)",32.04235622205769,1.4846318688944428e-75,176.82430379100472,0.0,5.561070144314595e-17,1.0,8.159117334355236e-41,8649.0,5.016901288207062e-32,0,0,0,0
30,"(0, 31)",30.964864467045043,9.281475893110276e-74,178.79828500119663,0.0,5.56615182224278e-17,1.0,8.159117334355236e-41,8649.0,5.015920774385728e-32,0,0,0,0
31,"(0, 32)",13.037421543324378,1.7064100808085352e-26,150.7872023383006,2.5,6.039061860784111e-17,0.6989247311827957,3.72378831205029e-20,7949.0,5.486043389150605e-23,0,0,0,0
